accession,original_accessions,pubchem_id,smiles_iso,rt,rt_unit,inchikey,precursor_type,molecular_formula
EQ18018210,EQ369655;EQ369651;EQ369659;EQ369652;EQ369653;EQ369656;EQ369654;EQ369657;EQ369658,338,C1=CC=C(C(=C1)C(=O)O)O,6.3,min,YGSDEFSMJLZEOE-UHFFFAOYSA-N,[M-H]-,C7H6O3
EQ26671001,EQ371851;EQ371856;EQ371855;EQ371852;EQ371854;EQ371853,992,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O,15.6,min,IZUPBVBPLAPZRR-UHFFFAOYSA-N,[M-H]-,C6HCl5O
EQ40611721,EQ358058;EQ358052;EQ358057;EQ358055;EQ358059;EQ358053;EQ358056;EQ358051;EQ358054,2082,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,7.8,min,HXHWSAZORRCQMX-UHFFFAOYSA-N,[M-H]-,C12H15N3O2S
EQ19114805,EQ335053;EQ335057;EQ335054;EQ335051;EQ335055;EQ335056;EQ335059;EQ335058;EQ335052,2092,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC,5.3,min,WNMJYKCGWZFFKR-UHFFFAOYSA-N,[M-H]-,C19H27N5O4
EQ78938310,EQ363254;EQ363258;EQ363253;EQ363257;EQ363259;EQ363255;EQ363256;EQ363251;EQ363252,2153,CN1C2=C(C(=O)N(C1=O)C)NC=N2,3.1,min,ZFXYFBGIUFBOJW-UHFFFAOYSA-N,[M-H]-,C7H8N4O2
EQ71594768,EQ366159;EQ366155;EQ366152;EQ366151;EQ366153;EQ366154;EQ366156;EQ366158;EQ366157,2174,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C,4.7,min,AVKUERGKIZMTKX-UHFFFAOYSA-N,[M-H]-,C16H19N3O4S
EQ96558597,EQ357856;EQ357858;EQ357855;EQ357851;EQ357852;EQ357857;EQ357859;EQ357853;EQ357854,2244,CC(=O)OC1=CC=CC=C1C(=O)O,5.5,min,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,[M-H]-,C9H8O4
EQ28751823,EQ362855;EQ362851;EQ362858;EQ362854;EQ362856;EQ362859;EQ362857;EQ362853;EQ362852,2441,C1C(=O)NC2=C(C=C(C=C2)Br)C(=N1)C3=CC=CC=N3,7.0,min,VMIYHDSEFNYJSL-UHFFFAOYSA-N,[M-H]-,C14H10BrN3O
EQ13236830,EQ366255;EQ366253;EQ366256;EQ366259;EQ366258;EQ366251;EQ366252;EQ366254;EQ366257,2610,CC1=C(N2C(C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)SC1)C(=O)O,2.3,min,BOEGTKLJZSQCCD-UHFFFAOYSA-N,[M-H]-,C16H17N3O5S
EQ47487170,EQ366351;EQ366356;EQ366353;EQ366358;EQ366359;EQ366357;EQ366355;EQ366354;EQ366352,2618,CC1=NN=C(S1)SCC2=C(N3C(C(C3=O)NC(=O)CN4C=NN=N4)SC2)C(=O)O,4.4,min,MLYYVTUWGNIJIB-UHFFFAOYSA-N,[M-H]-,C14H14N8O4S3
EQ35619210,EQ361754;EQ361752;EQ361756;EQ361753;EQ361751;EQ361755;EQ361758;EQ361757,2712,CN=C1CN(C(=C2C=C(C=CC2=N1)Cl)C3=CC=CC=C3)O,6.2,min,BUCORZSTKDOEKQ-UHFFFAOYSA-N,[M-H]-,C16H14ClN3O
